text,label
"things to come is indeed a classic work of speculative fiction; both an essay on the destructive nature of war and the terrors of progress. it makes some surprising accurate depictions of the war that was to follow a few years later, but is woefully naive in it's utopian ideals. raymond massey, cedric hardwicke, and ralph richardson make up a fine cast, although the drama is played more as a stage piece, than a work of cinema. there are grandiose, if somewhat stilted speeches, often delivered as if the actor is trying to reach the back of the theater. however, there are some profound words there. is technology the savior of mankind, or the instrument of its destruction? the film is a visual feast, if one can detach oneself from the age of the effects. sure, hollywood is more sophisticated today, but rarely as inventive. for the imaginative, the third act is a treat: a world with underground cities, massive deco bombers, space cannons, gyro copters, and secret organizations of scientist saviors. it has all of the makings of a sci-fi pulp adventure, but instead uses the trappings for a philosophical exercise. things to come and metropolis were the hallmarks of neolithic hollywood science fiction cinema. they are operatic in scope, and visually inspiring. technology has long left them behind, but their ideas still burst forth. there is an artistry there, one with more heart and emotion than the computer generated mass-produced cinema of today. these films are the products of artisans, not industrialists.",1
"i will start this off by saying i couldn't get all the way through it. i picked it up on a rainy day from walmart like the rest of the reviewers on this site. i figured there wasn't any way i would regret my purchase. was i wrong or what? seriously now, who approved this project? they need to be forced to watch this movie over and over until the end of eternity. that's the only fitting punishment i can think of for releasing something this bad. the shooting reminds me of the movies i used to make for class projects on a big old vhs cam. the acting isnt much better. i think the only difference is that there are a few cool cameos. yay, who cares... shecky moskowitz is unfunny, and the ships comedian is an even bigger loser. that's about as much of the plot as i understood. overall it's the worst movie i've ever seen. i own it on dvd and have given it to many co-workers to watch. each comes back and laughs and says ""wow i didnt think i'd ever say i shut off an adam sandler movie 15 minutes in...."" my response is always ""well now you can""",0
"distasteful, cliched thriller has young couple doing cross-country research on america's most infamous murder sites, becoming road partners with a dim-witted young woman and her snarling boyfriend--who is an actual psycho. arty and alienating, the film's tone alternates between pouty pseudo-irony and silly flamboyance. handsomely-made perhaps, but ultimately laughable. brad pitt's performance as the low-rent killer is godawful. * from ****",0
"i had to walk out on this film fifteen minutes from the end... having passed through the cringe stage and into pure boredom. what really horrifies me, i mean truly disturbs me, is that there are people referring to this aimless drivel as 'delightful' or a 'must see.' i would feel deep pity for those so afflicted were it not for the distinct impression that most of the positive comments about this shallow and humourless travesty were written by industry plants. the truth is this is a lame film that does nothing to entertain nor enlighten. it is decidedly unfunny, poorly scripted and has all the pace and energy of cold, canned rice pudding. to be kind to ms kramer, the best one can say is it was a missed opportunity, for having read the synopsis before i watched it, i had expected something more challenging. the possible misinterpretations of a close brother and sister co-dependence, the unexpected awakening of 'sisterly' sexuality, and the comic potential in such sibling rivalry (for the affections of the same girl) were all obvious subjects for refreshing comedic exploration, yet which at every turn the movie frustratingly shies away from. instead, the audience is subjected to a meandering series of uninspired and insipidly drawn situations, with clichéd characterisations and dull performances from a cast struggling for belief and obviously in need of much tighter direction. the lack of directorial control seems astounding; on the one hand, moynahan, cavanagh and spacek all give very pedestrian performances, while heather graham and molly shannon - the latter in particular - veer towards embarrassing over-compensation at times. one could lay the blame for this on the director - maybe sue kramer hopes that if her actors over-act, they will force a bigger laugh from the audience. but then again, the cast is a veteran one; one would expect them to do better. sue kramer really needs to think carefully what kind of movies she wants to make, and for whom. given the possible issues gray matters alludes to, and given her inability or unwillingness to fully explore them in the context of a comedy, perhaps she should consider writing dramas instead. i know it is never easy to make films about women and women's issues, especially when one hopes to reach a wider audience than women alone, but whatever direction she takes, inconsequential and flimsy characters like gray are not going to cut mustard.",0
"this had a good story...it had a nice pace and all characters are developed cool. i've watched a whole bunch of movies in the last two weeks and this had to be the best one i've seen in the two weeks. jason bigg's character was the best though. even though it was small, it was cleverly crafted from the very beginning. this may be a romantic comedy and i don't like most, but the writing, direction, performing, sound, design overall in all capacity just was really thought out pretty cool. this film scored pretty high out of all the movie's i've seen lately - and the rest were big budget or better publicized. good job in writing.",1
"esther williams gets her first post mgm starring role and gets off to a good start. this film is a well acted entertaining suspense with a mature theme that would be repeated a million times more in the future - innocent girl stalked creepy woman hater. esther looks great and if she wanted to, probably could have gone on to do more and better films but according to her autobiography, pretty much gave up working for marriage. either way she is so likable and engaging that its fun to see her in a totally different role outside of the 'swimming musical'. universal was fabulous for making films with former mgm stars after that studio began dropping its biggest names as it began to slide down hill. stars like lana turner, june allyson and others got to make quality first rate films at universal as they obviously still had drawing power at the box office. i wish esther had made more but since she didnt, it makes this one all the more special.",1
"i first saw enchanted april about five years ago. i loved it so much that my husband surprised me with a copy the following christmas. it's about two women who decide to rent a castle in italy for the month of april, leaving their humdrum lives behind them. they are very sad women at the outset of the film, and you can't help but root them on as they plan this get-away with two other women they invite along to share the expenses. this is perhaps the most feel good movie i have ever seen. it' pure and simple, with no car chases, no animosities and no deaths. it was made with care and in very good taste. you cannot help but smile all through it -- except when you're crying happy tears!",1
"this movie wasn't absolutely atrocious, but it was pretty bad. the acting actually was pretty good! jeffrey combs did a pretty darn good job as the mad scientist, which is sort of his specialty if you don't know such things :d. bill forsythe .. well, i'm not exactly sure why he was in this film. he's way too good for this kinda stuff, and his role wasn't exactly demanding. i rented this on the strength of those two leads, and i wasn't really disappointed. i mean, heck, it's a movie about a half man/half shark. it ain't shakespeare folks. other than the plot, which is full of holes, and the poor dialogue, i would like to note that the cinematography also left many things to be desired. there were shots were they were trying to look ""cool"", but it ended up obscuring the scene or just coming off plain cheezy. they also blew it many times when they had decent dialogue and cut away prematurely before the person could even deliver the line. it was pretty bad. but if you are a jeffrey combs fan, this one is worth checking out. he gives a great performance and does what he can with the character. forsythe ain't bad either, and either is the female lead. heck if i can remember her name though. bottom line, i wouldn't otherwise waste your time.",0
"things get dull early an often in this in this mawkish jazz bio fiction written and directed by spike lee. bleek gilliam (denzell washington) is a happenin' jazz trumpeter that fronts a quintet packing them in at below the underdog. his problems include an incompetent manager, a stage hogging sax player and two girlfriends that he's playing musical mattress with. the real love of his life though is his trumpet and his music. the band's manager, giant, has a dangerous gambling problem and proves to be an ineffective negotiator with greedy club owners and would be best jettisoned but bleek remains loyal for as long as possible. it will prove to his undoing as an artist but ironically contribute to his growth as a man. as bleek, denzell washington is all wrong as the ambitious trumpeter with a babe on each arm. he's too sweet a guy to be so self centered about his art, dispensing patience and love to those close to him with a low key remoteness. he simply lacks the fire. wesley snipes who plays henderson the sax player would have been far more suited for the role but even he would have to mouth the flaccid throw away scribblings of lee's torpid dialogue. as giant, lee hits the trifecta with an abysmal performance to match his writing and direction. loosely attempting to mirror the grubby but sympathetic ratso rizzo to bleek's joe buck he adopts a limp and even the ""i'm walkin' here"" moment from midnight cowboy. in this case you wish the taxi would run him over and be done with it. lee's script is all tepid argument, heavy handed ribbing and veiled insult with some requisite clumsy editorializing that lee has to inject to remain down. the scenes between the band members backstage and in rehearsal lack spark and are only surpassed in dreariness by the bleek, giant conversations that have an ad lib look and go in circles. completing this travesty is lee's pretentious visual style. tracking shots, zooms and pans are wasted and without significance to scenes. they just wander. blues is lee's love letter to jazz (made implicit by the mountains of memorabilia plastered all over the sets) and it's all sentimental clap trap that lacks passion and verve. jazz on film is better served by tavernier's ""round midnight"" and eastwood's ""bird"" which get below the surface, reveal more sides of the form, the pain behind it in addition to offering infinitely superior lead performances by forrest whitaker and the real deal dexter gordon. this spike lee joint doesn't even offer a mild buzz. it's some pretty bad homegrown.",0
"some have compared this film to deliverance. i believe of mice and men is more appropriate. our leading man, heaton, definitely loves spike. it is irrelevant and immaterial whether that is a sexual love. it is the reason heaton does not leave spike. he needs him. they need each other. as brothers, as family, as their only connection to humanity. the setting, scenario, minimal cast all add up to a fine film. frankly, i did not care what happened to the characters. but, i did care about what the film maker did with them. he did well with them. i spent some time wondering how the ending would resemble of mice and men. the soundtrack and cinematography were compelling and intriguing.",1
