text,label
"Things to Come is indeed a classic work of speculative fiction; both an essay on the destructive nature of war and the terrors of progress. It makes some surprising accurate depictions of the war that was to follow a few years later, but is woefully naive in it's Utopian ideals.<br /><br />Raymond Massey, Cedric Hardwicke, and Ralph Richardson make up a fine cast, although the drama is played more as a stage piece, than a work of cinema. There are grandiose, if somewhat stilted speeches, often delivered as if the actor is trying to reach the back of the theater. However, there are some profound words there. Is technology the savior of mankind, or the instrument of its destruction? The film is a visual feast, if one can detach oneself from the age of the effects. Sure, Hollywood is more sophisticated today, but rarely as inventive. For the imaginative, the third act is a treat: a world with underground cities, massive deco bombers, space cannons, gyro copters, and secret organizations of scientist saviors. It has all of the makings of a sci-fi pulp adventure, but instead uses the trappings for a philosophical exercise.<br /><br />Things to Come and Metropolis were the hallmarks of neolithic Hollywood science fiction cinema. They are operatic in scope, and visually inspiring. Technology has long left them behind, but their ideas still burst forth. There is an artistry there, one with more heart and emotion than the computer generated mass-produced cinema of today. These films are the products of artisans, not industrialists.",1
"I will start this off by saying I couldn't get all the way through it. I picked it up on a rainy day from WalMart like the rest of the reviewers on this site. I figured there wasn't any way I would regret my purchase. Was I wrong or what? Seriously now, who approved this project? They need to be forced to watch this movie over and over until the end of eternity. That's the only fitting punishment I can think of for releasing something this bad. The shooting reminds me of the movies I used to make for class projects on a big old VHS cam. The acting isnt much better. I think the only difference is that there are a few cool cameos. Yay, who cares... Shecky Moskowitz is unfunny, and the ships comedian is an even bigger loser. That's about as much of the plot as I understood.<br /><br />Overall it's the worst movie I've ever seen. I own it on DVD and have given it to many co-workers to watch. Each comes back and laughs and says ""Wow I didnt think I'd ever say I shut off an Adam Sandler movie 15 minutes in....""<br /><br />My response is always ""Well now you can""<br /><br />",0
"Distasteful, cliched thriller has young couple doing cross-country research on America's most infamous murder sites, becoming road partners with a dim-witted young woman and her snarling boyfriend--who is an actual psycho. Arty and alienating, the film's tone alternates between pouty pseudo-irony and silly flamboyance. Handsomely-made perhaps, but ultimately laughable. Brad Pitt's performance as the low-rent killer is godawful. * from ****",0
"I had to walk out on this film fifteen minutes from the end... having passed through the cringe stage and into pure boredom. What really horrifies me, I mean truly disturbs me, is that there are people referring to this aimless drivel as 'delightful' or a 'must see.' I would feel deep pity for those so afflicted were it not for the distinct impression that most of the positive comments about this shallow and humourless travesty were written by industry plants.<br /><br />The truth is this is a lame film that does nothing to entertain nor enlighten. It is decidedly unfunny, poorly scripted and has all the pace and energy of cold, canned rice pudding. To be kind to Ms Kramer, the best one can say is it was a missed opportunity, for having read the synopsis before I watched it, I had expected something more challenging. The possible misinterpretations of a close brother and sister co-dependence, the unexpected awakening of 'sisterly' sexuality, and the comic potential in such sibling rivalry (for the affections of the same girl) were all obvious subjects for refreshing comedic exploration, yet which at every turn the movie frustratingly shies away from.<br /><br />Instead, the audience is subjected to a meandering series of uninspired and insipidly drawn situations, with clichéd characterisations and dull performances from a cast struggling for belief and obviously in need of much tighter direction. The lack of directorial control seems astounding; on the one hand, Moynahan, Cavanagh and Spacek all give very pedestrian performances, while Heather Graham and Molly Shannon - the latter in particular - veer towards embarrassing over-compensation at times. One could lay the blame for this on the director - maybe Sue Kramer hopes that if her actors over-act, they will force a bigger laugh from the audience. But then again, the cast is a veteran one; one would expect them to do better.<br /><br />Sue Kramer really needs to think carefully what kind of movies she wants to make, and for whom. Given the possible issues Gray Matters alludes to, and given her inability or unwillingness to fully explore them in the context of a comedy, perhaps she should consider writing dramas instead. I know it is never easy to make films about women and women's issues, especially when one hopes to reach a wider audience than women alone, but whatever direction she takes, inconsequential and flimsy characters like Gray are not going to cut mustard.",0
"This had a good story...it had a nice pace and all characters are developed cool.<br /><br />I've watched a whole bunch of movies in the last two weeks and this had to be the best one I've seen in the two weeks.<br /><br />Jason Bigg's character was the best though.<br /><br />Even though it was small, it was cleverly crafted from the very beginning.<br /><br />This may be a romantic comedy and I don't like most, but the writing, direction, performing, sound, design overall in all capacity just was really thought out pretty cool.<br /><br />This film scored pretty high out of all the movie's I've seen lately - and the rest were big budget or better publicized.<br /><br />Good job in writing.",1
"Esther Williams gets her first post MGM starring role and gets off<br /><br />to a good start. This film is a well acted entertaining suspense<br /><br />with a mature theme that would be repeated a million times more<br /><br />in the future - innocent girl stalked creepy woman hater. Esther<br /><br />looks great and if she wanted to, probably could have gone on to<br /><br />do more and better films but according to her autobiography, <br /><br />pretty much gave up working for marriage. Either way she is so<br /><br />likable and engaging that its fun to see her in a totally different role<br /><br />outside of the 'swimming musical'. Universal was fabulous for<br /><br />making films with former MGM stars after that studio began<br /><br />dropping its biggest names as it began to slide down hill. Stars<br /><br />like Lana Turner, June Allyson and others got to make quality first<br /><br />rate films at Universal as they obviously still had drawing power at<br /><br />the box office. I wish Esther had made more but since she didnt, it<br /><br />makes this one all the more special.",1
"I first saw Enchanted April about five years ago. I loved it so much that my husband surprised me with a copy the following Christmas. It's about two women who decide to rent a castle in Italy for the month of April, leaving their humdrum lives behind them. They are very sad women at the outset of the film, and you can't help but root them on as they plan this get-away with two other women they invite along to share the expenses. This is perhaps the most feel good movie I have ever seen. It' pure and simple, with no car chases, no animosities and no deaths. It was made with care and in very good taste. You cannot help but smile all through it -- except when you're crying happy tears!",1
"this movie wasn't absolutely atrocious, but it was pretty bad. the acting ACTUALLY was pretty good! jeffrey combs did a pretty darn good job as the mad scientist, which is sort of his specialty if you don't know such things :D. bill forsythe .. well, i'm not EXACTLY sure why he was in this film. he's way too good for this kinda stuff, and his role wasn't exactly demanding. I rented this on the strength of those two leads, and I wasn't really disappointed. I mean, heck, it's a movie about a half man/half shark. It ain't Shakespeare folks. Other than the plot, which is full of holes, and the poor dialogue, I would like to note that the cinematography also left many things to be desired. there were shots were they were trying to look ""cool"", but it ended up obscuring the scene or just coming off plain cheezy. they also blew it many times when they had decent dialogue and cut away prematurely before the person could even deliver the line. it was pretty bad. but if you are a jeffrey combs fan, this one is worth checking out. he gives a great performance and does what he can with the character. forsythe ain't bad either, and either is the female lead. heck if i can remember her name though. bottom line, i wouldn't otherwise waste your time.",0
"Things get dull early an often in this in this mawkish jazz bio fiction written and directed by Spike Lee.<br /><br />Bleek Gilliam (Denzell Washington) is a happenin' jazz trumpeter that fronts a quintet packing them in at Below the Underdog. His problems include an incompetent manager, a stage hogging sax player and two girlfriends that he's playing musical mattress with. The real love of his life though is his trumpet and his music. The band's manager, Giant, has a dangerous gambling problem and proves to be an ineffective negotiator with greedy club owners and would be best jettisoned but Bleek remains loyal for as long as possible. It will prove to his undoing as an artist but ironically contribute to his growth as a man.<br /><br />As Bleek, Denzell Washington is all wrong as the ambitious trumpeter with a babe on each arm. He's too sweet a guy to be so self centered about his art, dispensing patience and love to those close to him with a low key remoteness. He simply lacks the fire. Wesley Snipes who plays Henderson the sax player would have been far more suited for the role but even he would have to mouth the flaccid throw away scribblings of Lee's torpid dialogue. As Giant, Lee hits the trifecta with an abysmal performance to match his writing and direction. Loosely attempting to mirror the grubby but sympathetic Ratso Rizzo to Bleek's Joe Buck he adopts a limp and even the ""I'm walkin' here"" moment from Midnight Cowboy. In this case you wish the taxi would run him over and be done with it.<br /><br />Lee's script is all tepid argument, heavy handed ribbing and veiled insult with some requisite clumsy editorializing that Lee has to inject to remain down. The scenes between the band members backstage and in rehearsal lack spark and are only surpassed in dreariness by the Bleek, Giant conversations that have an ad lib look and go in circles. Completing this travesty is Lee's pretentious visual style. Tracking shots, zooms and pans are wasted and without significance to scenes. They just wander.<br /><br />Blues is Lee's love letter to jazz (made implicit by the mountains of memorabilia plastered all over the sets) and it's all sentimental clap trap that lacks passion and verve. Jazz on film is better served by Tavernier's ""Round Midnight"" and Eastwood's ""Bird"" which get below the surface, reveal more sides of the form, the pain behind it in addition to offering infinitely superior lead performances by Forrest Whitaker and the real deal Dexter Gordon. This Spike Lee Joint doesn't even offer a mild buzz. It's some pretty bad homegrown.",0
"Some have compared this film to Deliverance. I believe Of Mice and Men is more appropriate. Our leading man, Heaton, definitely loves Spike. It is irrelevant and immaterial whether that is a sexual love. It is the reason Heaton does not leave Spike. He needs him. They need each other. As brothers, as family, as their only connection to humanity. The setting, scenario, minimal cast all add up to a fine film. Frankly, I did not care what happened to the characters. But, I did care about what the film maker did with them. He did well with them. I spent some time wondering how the ending would resemble Of Mice and Men. The soundtrack and cinematography were compelling and intriguing.",1
